study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_power_target_eq05,eq05_power_target_200_120_150_0p1,200,120,150,0.8,equicorrelation,0.5,0.1,equicorrelation_target_power_rho0p5,alternative,gaussian,Li-Chen,0.05,0,500,1.0,3.608862539120089e-146,43.0439836030693,43.26370167155938,0.0013712014013435691,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p1,200,120,150,0.8,equicorrelation,0.5,0.1,equicorrelation_target_power_rho0p5,alternative,gaussian,Max-bootstrap,0.05,500,500,1.0,2.8e-05,6.428078182880155,6.422199802608653,0.4150094507979229,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p1,200,120,150,0.8,equicorrelation,0.5,0.1,equicorrelation_target_power_rho0p5,alternative,gaussian,Ours-C(0.3),0.05,500,500,1.0,4e-06,10.957904671043254,10.935296572466214,0.42406297880085186,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p1,200,120,150,0.8,equicorrelation,0.5,0.1,equicorrelation_target_power_rho0p5,alternative,gaussian,Ours-C(0.5),0.05,500,500,1.0,0.0,21.68120403088675,21.64717452471756,0.4257107240012847,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p1,200,120,150,0.8,equicorrelation,0.5,0.1,equicorrelation_target_power_rho0p5,alternative,gaussian,Ours-C(0.7),0.05,500,500,1.0,0.0,30.76399269435077,30.673775961618574,0.4296728054005653,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p1,200,120,150,0.8,equicorrelation,0.5,0.1,equicorrelation_target_power_rho0p5,alternative,gaussian,Ours-I,0.05,500,500,1.0,0.0,10.22263389731729,10.133910049832778,0.4342690069992095,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p1,200,120,150,0.8,equicorrelation,0.5,0.1,equicorrelation_target_power_rho0p5,alternative,gaussian,Wang-NR,0.05,0,500,1.0,1.2982618199909051e-06,6275.382149472346,6113.600701701826,0.004190816799062304,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p2,200,120,150,0.8,equicorrelation,0.5,0.2,equicorrelation_target_power_rho0p5,alternative,gaussian,Li-Chen,0.05,0,500,1.0,1.131630513610298e-08,20.655306692783135,20.695322128633805,0.0012306671992409974,0.0
study_power_target_eq05,eq05_power_target_200_120_150_0p2,200,120,150,0.8,equicorrelation,0.5,0.2,equicorrelation_target_power_rho0p5,alternative,gaussian,Max-bootstrap,0.05,500,500,0.986,0.003268,5.6166261417565035,5.617866660426811,0.38084669440076685,0.0052543315464481325
study_power_target_eq05,eq05_power_target_200_120_150_0p2,200,120,150,0.8,equicorrelation,0.5,0.2,equicorrelation_target_power_rho0p5,alternative,gaussian,Ours-C(0.3),0.05,500,500,1.0,0.000344,5.239049737520441,5.236590427324825,0.39385886419855526,0.0
