study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.09,0.5460765252459809,-0.1220544434426122,-0.21817791694025726,0.0003057011006167158,0.009049861877399014
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.01,0.621784,3.528188741913986,3.4885011034209246,0.06517256800166797,0.003146426544510455
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.061,0.40500400000000003,1.0575273379328887,0.9606448502309166,0.06916560479963664,0.0075682891065286355
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.062,0.438764,1.071551554771907,0.844026634673954,0.06934307179914322,0.007626008130076967
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.064,0.460092,1.0833803027332691,0.7236073426483255,0.06964843400206883,0.007739767438366608
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.005,0.381386,1.0394731865136397,1.0287061380074929,0.06937180879956577,0.0022304708023195463
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.001,0.40346184117614886,5.865330469108692,4.348904230232776,0.0007267471997765825,0.0009994998749374609
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.178,0.6236016756127888,-0.21369441509903186,-0.8591204772249452,0.0003059144967701286,0.012096115078817662
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.034,0.526692,2.9028219601609515,2.869415649640336,0.06441971019806805,0.005730968504537431
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.047,0.414392,1.0474297689386742,0.918203265870822,0.06967704999970738,0.006692607862410586
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.046,0.442672,1.0441244898682567,0.7698166987296944,0.06978968660009559,0.006624499981130651
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.043,0.458692,1.038147657321519,0.6534908391232451,0.0693219941991847,0.006414904519944158
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.045,0.441444,1.0448157855619027,0.7876120919916634,0.06896501879976132,0.0065555320150236475
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.042,0.44110832733274213,7.611370863561812,-94.01719693864152,0.0007196754002943635,0.0063431853196954605
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.258,0.6401319301756216,-0.4809561573551112,-1.6127427815124746,0.0003075631024548784,0.013836039895866157
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.044,0.491056,1.5300189046234651,1.4413514966605425,0.0641809067025315,0.006485676526007136
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.05,0.41731599999999996,1.070165537558362,0.8504104537079851,0.06945008110057097,0.006892024376045111
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.054,0.439102,1.0864752132741105,0.7314262981208421,0.06967544909950811,0.007147307185227175
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.045,0.45234199999999997,1.0969749475542399,0.6554975782483677,0.06899408139893785,0.0065555320150236475
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.049,0.458838,1.1000898176296074,0.6322183591528581,0.06886753429903184,0.006826346021115542
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.045,0.4550031252095821,22.499454692659416,-444.33428351083234,0.0007226706009823829,0.0065555320150236475
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.089,0.5495481488704856,-0.1030463417061453,-0.26878252024337695,0.0005417698990786449,0.00900438781928011
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.008,0.63801,3.805651628028279,3.7708114841844615,0.28358028910344,0.0028170906978654416
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.042,0.43836200000000003,1.0371855925906919,0.8722164076680547,0.30003617639979346,0.0063431853196954605
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.049,0.464262,1.027616405202294,0.727178220269885,0.3003806528963614,0.006826346021115542
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.045,0.478162,1.0178982122796147,0.6162811213971222,0.30161224349902477,0.0065555320150236475
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.008,0.38059,1.037170685548026,1.0278902743145397,0.30156699469743764,0.0028170906978654416
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.003,0.39054098965067463,22.626007705842778,15.438847402531849,0.0014047267003916204,0.001729450779872038
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.198,0.6024053406954328,-0.06560126372096897,-0.7984729752376526,0.0005258754980750382,0.012601428490452978
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.045,0.52806,3.1275847719476038,3.0827048663781618,0.27850965309818276,0.0065555320150236475
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.056,0.425564,1.072254055511968,0.8491149609071353,0.3055346922017634,0.007270763371201128
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.056,0.444454,1.0827192334055444,0.728400630125339,0.3045814191997051,0.007270763371201128
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.054,0.455442,1.0889593649714526,0.6607265329468004,0.30325604910193943,0.007147307185227175
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.059,0.433714,1.0716094586841185,0.8011800380381651,0.30393139559880367,0.007451107300260815
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.048,0.43312508587442494,82.63354853188913,-351.67998968715807,0.0013635237991111353,0.006759881655768835
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.239,0.6540642706284119,-0.7639666929913271,-1.5766834070505593,0.0005492817991180345,0.01348625225924534
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.035,0.513682,1.578706797700966,1.4817433959253923,0.27806806220242286,0.005811626278418116
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.047,0.44058800000000004,1.030927672075878,0.7540323123915436,0.30337234580353833,0.006692607862410586
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.046,0.45400999999999997,1.0273654028186496,0.6388483951157979,0.3030290394990006,0.006624499981130651
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.044,0.46372,1.0261729697350006,0.59670242794071,0.30111518409929705,0.006485676526007136
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.044,0.46716,1.0249796913293565,0.5893396146670575,0.3016087223024806,0.006485676526007136
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,1.0,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.04,0.46246350495266875,-782.0765379831141,-1845.3560137543093,0.0014207228990271688,0.0061967733539318665
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.106,0.5254458203636079,-0.10513103065474608,-0.12238250542827557,0.0003060084000462666,0.009734680272099337
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.004,0.6930940000000001,3.4709761909240835,3.4339433448408054,0.06446854810137302,0.001995995991979944
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.058,0.411148,1.0467961885957011,0.9495072438039365,0.06933706100017298,0.007391616873188166
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.061,0.449048,1.049389485973799,0.8179194161736618,0.069517075697775,0.0075682891065286355
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.063,0.47025,1.0497422006648358,0.6713227208143707,0.06926208919903729,0.007683163410991596
