study,scenario_id,p,n1,n2,family,rho0,rho_alt,design,alternative,innovation,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Wang-NR
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p1,100,60,60,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,0.09,0.01,0.061,0.062,0.064,0.005,0.001
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p5,100,60,60,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,0.178,0.034,0.047,0.046,0.043,0.045,0.042
study_size_smalln,size_smalln_chisq1_equicorrelation_100_60_60_rho0p9,100,60,60,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,0.258,0.044,0.05,0.054,0.045,0.049,0.045
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p1,200,60,60,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,chisq1,0.089,0.008,0.042,0.049,0.045,0.008,0.003
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p5,200,60,60,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,chisq1,0.198,0.045,0.056,0.056,0.054,0.059,0.048
study_size_smalln,size_smalln_chisq1_equicorrelation_200_60_60_rho0p9,200,60,60,equicorrelation,0.9,0.9,small_equal_sample_null_size,null,chisq1,0.239,0.035,0.047,0.046,0.044,0.044,0.04
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,0.106,0.004,0.058,0.061,0.063,0.0,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,0.093,0.015,0.042,0.054,0.051,0.0,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,0.103,0.059,0.047,0.054,0.053,0.03,0.017
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,0.112,0.003,0.045,0.045,0.049,0.0,0.0
