p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,120,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.218,0.0130566458173606
100,120,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.075,0.008329165624478841
100,120,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.078,0.008480330182251162
100,120,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.082,0.008676174272108648
100,120,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.07,0.008068457101577725
100,120,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.079,0.008529888627643388
100,120,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.066,0.007851369307324678
100,180,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.192,0.012455360291858283
100,180,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.118,0.01020176455325254
100,180,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.108,0.009815090422405696
100,180,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.1,0.009486832980505138
100,180,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.095,0.00927227048785787
100,180,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.096,0.009315793041926168
100,180,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.074,0.00827792244467173
100,300,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.22,0.013099618315050252
100,300,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.244,0.013581752464244074
100,300,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.168,0.011822690049223147
100,300,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.146,0.011166198995181842
100,300,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.125,0.010458250331675944
100,300,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.147,0.011197812286335219
100,300,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.108,0.009815090422405696
100,90,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.194,0.012504559168559283
100,90,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.041,0.006270486424512854
100,90,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.053,0.00708456067798138
100,90,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.056,0.007270763371201128
100,90,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.054,0.007147307185227175
100,90,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.066,0.007851369307324678
100,90,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.044,0.006485676526007136
200,120,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.181,0.0121753439376471
200,120,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.056,0.007270763371201128
200,120,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.062,0.007626008130076967
200,120,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.062,0.007626008130076967
200,120,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.058,0.007391616873188166
200,120,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.065,0.007795832219846705
200,120,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.052,0.007021111023192838
200,180,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.2,0.01264911064067352
200,180,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.103,0.009612023720320296
200,180,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.106,0.009734680272099337
200,180,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.098,0.009401914698613257
200,180,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.093,0.009184280047995052
200,180,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.099,0.009444522221901964
200,180,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.075,0.008329165624478841
200,300,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.185,0.012279047194306243
200,300,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.218,0.0130566458173606
200,300,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.14,0.010972693379476163
200,300,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.123,0.010386096475577337
200,300,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.113,0.01001154333756789
200,300,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.118,0.01020176455325254
200,300,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.091,0.009094998625618368
200,90,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.188,0.012355403676124872
200,90,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.049,0.006826346021115542
200,90,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
200,90,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.058,0.007391616873188166
200,90,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.057,0.007331507348424334
200,90,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.058,0.007391616873188166
200,90,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.049,0.006826346021115542
100,120,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.094,0.009228434320078352
100,120,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.019,0.004317290817167636
100,120,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.067,0.007906389820898032
100,120,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.068,0.007960904471226871
100,120,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.066,0.007851369307324678
100,120,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,120,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
