study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.218,0.5931932634526692,0.04750318833032947,-0.8125543826737243,0.0006520276030059904,0.0130566458173606
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.075,0.48669,2.9741141803331534,2.916792155462721,0.07559259819972794,0.008329165624478841
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.078,0.40193599999999996,1.100456953229492,0.9217476816696555,0.082199883500929,0.008480330182251162
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.082,0.429754,1.150287450571551,0.7869779306304283,0.08222112350026145,0.008676174272108648
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.07,0.44786000000000004,1.1828239725616305,0.6811866124135781,0.08161278100020718,0.008068457101577725
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.079,0.430286,1.154491876855108,0.7986448012191769,0.08178424079949036,0.008529888627643388
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.066,0.4328041203299607,35.82829768578502,-69.98117881564414,0.0016760839022463188,0.007851369307324678
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_180_60_rho0p5,100,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.192,0.6142738522692773,-0.2617680846477986,-0.8468996062125733,0.0008224799014860764,0.012455360291858283
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_180_60_rho0p5,100,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.118,0.442534,3.0692999742048586,2.9680112384387405,0.08167622319993097,0.01020176455325254
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_180_60_rho0p5,100,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.108,0.39842,1.104785268407316,0.9202761481785127,0.08737744670303073,0.009815090422405696
