p,"(n_1,n_2)",Innovation,Cov.,rho0,G(0.3),G(0.5),G(0.7),I_p
p=100,"(60,60)",Gaussian,Equicorr.,0.1/0.5/0.9,0.046/0.049/0.057,0.050/0.065/0.062,0.051/0.062/0.069,0.001/0.054/0.060
p=100,"(60,60)",Gaussian,Toeplitz,0.1/0.5/0.9,0.050/0.053/0.055,0.061/0.057/0.056,0.061/0.062/0.061,0.000/0.000/0.034
p=100,"(60,60)",Centered chi2_1,Equicorr.,0.1/0.5/0.9,0.061/0.047/0.050,0.062/0.046/0.054,0.064/0.043/0.045,0.005/0.045/0.049
p=100,"(60,60)",Centered chi2_1,Toeplitz,0.1/0.5/0.9,0.058/0.042/0.047,0.061/0.054/0.054,0.063/0.051/0.053,0.000/0.000/0.030
p=100,"(60,60)",Laplace,Equicorr.,0.1/0.5/0.9,0.048/0.053/0.040,0.062/0.060/0.044,0.058/0.060/0.044,0.003/0.062/0.047
p=100,"(60,60)",Laplace,Toeplitz,0.1/0.5/0.9,0.042/0.058/0.047,0.050/0.061/0.051,0.050/0.062/0.050,0.000/0.000/0.023
p=100,"(80,100)",Gaussian,Equicorr.,0.1/0.5/0.9,0.046/0.054/0.044,0.050/0.054/0.053,0.047/0.052/0.049,0.005/0.050/0.054
p=100,"(80,100)",Gaussian,Toeplitz,0.1/0.5/0.9,0.059/0.054/0.056,0.063/0.062/0.063,0.065/0.059/0.056,0.000/0.000/0.039
p=100,"(80,100)",Centered chi2_1,Equicorr.,0.1/0.5/0.9,0.058/0.049/0.059,0.058/0.045/0.062,0.062/0.054/0.061,0.010/0.048/0.061
p=100,"(80,100)",Centered chi2_1,Toeplitz,0.1/0.5/0.9,0.060/0.053/0.050,0.061/0.058/0.055,0.063/0.055/0.058,0.000/0.000/0.027
p=100,"(80,100)",Laplace,Equicorr.,0.1/0.5/0.9,0.062/0.056/0.054,0.066/0.060/0.057,0.063/0.057/0.056,0.008/0.054/0.058
p=100,"(80,100)",Laplace,Toeplitz,0.1/0.5/0.9,0.047/0.059/0.042,0.051/0.067/0.052,0.050/0.062/0.052,0.000/0.000/0.042
p=100,"(120,150)",Gaussian,Equicorr.,0.1/0.5/0.9,0.058/0.060/0.051,0.062/0.066/0.054,0.057/0.070/0.053,0.011/0.073/0.049
p=100,"(120,150)",Gaussian,Toeplitz,0.1/0.5/0.9,0.060/0.056/0.057,0.064/0.057/0.053,0.061/0.052/0.048,0.000/0.000/0.053
p=100,"(120,150)",Centered chi2_1,Equicorr.,0.1/0.5/0.9,0.064/0.040/0.050,0.057/0.040/0.044,0.064/0.039/0.048,0.016/0.040/0.040
p=100,"(120,150)",Centered chi2_1,Toeplitz,0.1/0.5/0.9,0.056/0.044/0.052,0.053/0.049/0.058,0.053/0.046/0.056,0.000/0.000/0.031
p=100,"(120,150)",Laplace,Equicorr.,0.1/0.5/0.9,0.052/0.047/0.052,0.056/0.051/0.054,0.065/0.049/0.052,0.008/0.052/0.054
p=100,"(120,150)",Laplace,Toeplitz,0.1/0.5/0.9,0.042/0.058/0.053,0.044/0.062/0.051,0.044/0.061/0.053,0.000/0.000/0.036
p=200,"(60,60)",Gaussian,Equicorr.,0.1/0.5/0.9,0.050/0.062/0.042,0.051/0.068/0.044,0.056/0.066/0.041,0.001/0.063/0.043
p=200,"(60,60)",Gaussian,Toeplitz,0.1/0.5/0.9,0.052/0.042/0.054,0.056/0.046/0.056,0.061/0.046/0.057,0.000/0.000/0.011
p=200,"(60,60)",Centered chi2_1,Equicorr.,0.1/0.5/0.9,0.042/0.056/0.047,0.049/0.056/0.046,0.045/0.054/0.044,0.008/0.059/0.044
