"(n_1,n_2)",Dist.,Cov.,G(.3),G(.5),G(.7),I_p
"(60,60)",Gau,Eq,0.046/0.049/0.057,0.050/0.065/0.062,0.051/0.062/0.069,0.001/0.054/0.060
"(60,60)",Gau,Toe,0.050/0.053/0.055,0.061/0.057/0.056,0.061/0.062/0.061,0.000/0.000/0.034
"(60,60)",Chi,Eq,0.061/0.047/0.050,0.062/0.046/0.054,0.064/0.043/0.045,0.005/0.045/0.049
"(60,60)",Chi,Toe,0.058/0.042/0.047,0.061/0.054/0.054,0.063/0.051/0.053,0.000/0.000/0.030
"(60,60)",Lap,Eq,0.048/0.053/0.040,0.062/0.060/0.044,0.058/0.060/0.044,0.003/0.062/0.047
"(60,60)",Lap,Toe,0.042/0.058/0.047,0.050/0.061/0.051,0.050/0.062/0.050,0.000/0.000/0.023
"(80,100)",Gau,Eq,0.046/0.054/0.044,0.050/0.054/0.053,0.047/0.052/0.049,0.005/0.050/0.054
"(80,100)",Gau,Toe,0.059/0.054/0.056,0.063/0.062/0.063,0.065/0.059/0.056,0.000/0.000/0.039
"(80,100)",Chi,Eq,0.058/0.049/0.059,0.058/0.045/0.062,0.062/0.054/0.061,0.010/0.048/0.061
"(80,100)",Chi,Toe,0.060/0.053/0.050,0.061/0.058/0.055,0.063/0.055/0.058,0.000/0.000/0.027
"(80,100)",Lap,Eq,0.062/0.056/0.054,0.066/0.060/0.057,0.063/0.057/0.056,0.008/0.054/0.058
"(80,100)",Lap,Toe,0.047/0.059/0.042,0.051/0.067/0.052,0.050/0.062/0.052,0.000/0.000/0.042
"(120,150)",Gau,Eq,0.058/0.060/0.051,0.062/0.066/0.054,0.057/0.070/0.053,0.011/0.073/0.049
"(120,150)",Gau,Toe,0.060/0.056/0.057,0.064/0.057/0.053,0.061/0.052/0.048,0.000/0.000/0.053
"(120,150)",Chi,Eq,0.064/0.040/0.050,0.057/0.040/0.044,0.064/0.039/0.048,0.016/0.040/0.040
"(120,150)",Chi,Toe,0.056/0.044/0.052,0.053/0.049/0.058,0.053/0.046/0.056,0.000/0.000/0.031
"(120,150)",Lap,Eq,0.052/0.047/0.052,0.056/0.051/0.054,0.065/0.049/0.052,0.008/0.052/0.054
"(120,150)",Lap,Toe,0.042/0.058/0.053,0.044/0.062/0.051,0.044/0.061/0.053,0.000/0.000/0.036
