p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,60,60,chisq1,equicorrelation,0.1,Li-Chen,1000,0.09,0.009049861877399014
100,60,60,chisq1,equicorrelation,0.1,Max-bootstrap,1000,0.01,0.003146426544510455
100,60,60,chisq1,equicorrelation,0.1,Ours-C(0.3),1000,0.061,0.0075682891065286355
100,60,60,chisq1,equicorrelation,0.1,Ours-C(0.5),1000,0.062,0.007626008130076967
100,60,60,chisq1,equicorrelation,0.1,Ours-C(0.7),1000,0.064,0.007739767438366608
100,60,60,chisq1,equicorrelation,0.1,Ours-I,1000,0.005,0.0022304708023195463
100,60,60,chisq1,equicorrelation,0.1,Wang-NR,1000,0.001,0.0009994998749374609
100,60,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.178,0.012096115078817662
100,60,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.034,0.005730968504537431
100,60,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.047,0.006692607862410586
100,60,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.046,0.006624499981130651
100,60,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.043,0.006414904519944158
100,60,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.045,0.0065555320150236475
100,60,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.042,0.0063431853196954605
100,60,60,chisq1,equicorrelation,0.9,Li-Chen,1000,0.258,0.013836039895866157
100,60,60,chisq1,equicorrelation,0.9,Max-bootstrap,1000,0.044,0.006485676526007136
100,60,60,chisq1,equicorrelation,0.9,Ours-C(0.3),1000,0.05,0.006892024376045111
100,60,60,chisq1,equicorrelation,0.9,Ours-C(0.5),1000,0.054,0.007147307185227175
100,60,60,chisq1,equicorrelation,0.9,Ours-C(0.7),1000,0.045,0.0065555320150236475
100,60,60,chisq1,equicorrelation,0.9,Ours-I,1000,0.049,0.006826346021115542
100,60,60,chisq1,equicorrelation,0.9,Wang-NR,1000,0.045,0.0065555320150236475
200,60,60,chisq1,equicorrelation,0.1,Li-Chen,1000,0.089,0.00900438781928011
200,60,60,chisq1,equicorrelation,0.1,Max-bootstrap,1000,0.008,0.0028170906978654416
200,60,60,chisq1,equicorrelation,0.1,Ours-C(0.3),1000,0.042,0.0063431853196954605
200,60,60,chisq1,equicorrelation,0.1,Ours-C(0.5),1000,0.049,0.006826346021115542
200,60,60,chisq1,equicorrelation,0.1,Ours-C(0.7),1000,0.045,0.0065555320150236475
200,60,60,chisq1,equicorrelation,0.1,Ours-I,1000,0.008,0.0028170906978654416
200,60,60,chisq1,equicorrelation,0.1,Wang-NR,1000,0.003,0.001729450779872038
200,60,60,chisq1,equicorrelation,0.5,Li-Chen,1000,0.198,0.012601428490452978
200,60,60,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.045,0.0065555320150236475
200,60,60,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.056,0.007270763371201128
200,60,60,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.056,0.007270763371201128
200,60,60,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.054,0.007147307185227175
200,60,60,chisq1,equicorrelation,0.5,Ours-I,1000,0.059,0.007451107300260815
200,60,60,chisq1,equicorrelation,0.5,Wang-NR,1000,0.048,0.006759881655768835
200,60,60,chisq1,equicorrelation,0.9,Li-Chen,1000,0.239,0.01348625225924534
200,60,60,chisq1,equicorrelation,0.9,Max-bootstrap,1000,0.035,0.005811626278418116
200,60,60,chisq1,equicorrelation,0.9,Ours-C(0.3),1000,0.047,0.006692607862410586
200,60,60,chisq1,equicorrelation,0.9,Ours-C(0.5),1000,0.046,0.006624499981130651
200,60,60,chisq1,equicorrelation,0.9,Ours-C(0.7),1000,0.044,0.006485676526007136
200,60,60,chisq1,equicorrelation,0.9,Ours-I,1000,0.044,0.006485676526007136
200,60,60,chisq1,equicorrelation,0.9,Wang-NR,1000,0.04,0.0061967733539318665
100,60,60,chisq1,toeplitz,0.1,Li-Chen,1000,0.106,0.009734680272099337
100,60,60,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.004,0.001995995991979944
100,60,60,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.058,0.007391616873188166
100,60,60,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.061,0.0075682891065286355
100,60,60,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.063,0.007683163410991596
100,60,60,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,60,60,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
100,60,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.093,0.009184280047995052
