p,n1,n2,innovation,covariance family,rho,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Wang-NR
100,60,60,chisq1,equicorrelation,0.1,0.09,0.01,0.061,0.062,0.064,0.005,0.001
100,60,60,chisq1,equicorrelation,0.5,0.178,0.034,0.047,0.046,0.043,0.045,0.042
100,60,60,chisq1,equicorrelation,0.9,0.258,0.044,0.05,0.054,0.045,0.049,0.045
100,60,60,chisq1,toeplitz,0.1,0.106,0.004,0.058,0.061,0.063,0.0,0.0
100,60,60,chisq1,toeplitz,0.5,0.093,0.015,0.042,0.054,0.051,0.0,0.0
100,60,60,chisq1,toeplitz,0.9,0.103,0.059,0.047,0.054,0.053,0.03,0.017
100,60,60,gaussian,equicorrelation,0.1,0.073,0.083,0.046,0.05,0.051,0.001,0.017
100,60,60,gaussian,equicorrelation,0.5,0.106,0.069,0.049,0.065,0.062,0.054,0.049
100,60,60,gaussian,equicorrelation,0.9,0.108,0.063,0.057,0.062,0.069,0.06,0.063
100,60,60,gaussian,toeplitz,0.1,0.051,0.08,0.05,0.061,0.061,0.0,0.008
100,60,60,gaussian,toeplitz,0.5,0.053,0.062,0.053,0.057,0.062,0.0,0.009
100,60,60,gaussian,toeplitz,0.9,0.082,0.073,0.055,0.056,0.061,0.034,0.039
100,60,60,laplace,equicorrelation,0.1,0.085,0.023,0.048,0.062,0.058,0.003,0.016
100,60,60,laplace,equicorrelation,0.5,0.135,0.048,0.053,0.06,0.06,0.062,0.055
100,60,60,laplace,equicorrelation,0.9,0.182,0.045,0.04,0.044,0.044,0.047,0.039
100,60,60,laplace,toeplitz,0.1,0.049,0.014,0.042,0.05,0.05,0.0,0.0
100,60,60,laplace,toeplitz,0.5,0.06,0.036,0.058,0.061,0.062,0.0,0.001
100,60,60,laplace,toeplitz,0.9,0.076,0.064,0.047,0.051,0.05,0.023,0.029
200,60,60,chisq1,equicorrelation,0.1,0.089,0.008,0.042,0.049,0.045,0.008,0.003
200,60,60,chisq1,equicorrelation,0.5,0.198,0.045,0.056,0.056,0.054,0.059,0.048
200,60,60,chisq1,equicorrelation,0.9,0.239,0.035,0.047,0.046,0.044,0.044,0.04
200,60,60,chisq1,toeplitz,0.1,0.112,0.003,0.045,0.045,0.049,0.0,0.0
200,60,60,chisq1,toeplitz,0.5,0.064,0.013,0.059,0.059,0.055,0.0,0.0
200,60,60,chisq1,toeplitz,0.9,0.076,0.056,0.043,0.044,0.047,0.005,0.013
200,60,60,gaussian,equicorrelation,0.1,0.088,0.077,0.05,0.051,0.056,0.001,0.025
200,60,60,gaussian,equicorrelation,0.5,0.109,0.091,0.062,0.068,0.066,0.063,0.06
200,60,60,gaussian,equicorrelation,0.9,0.085,0.043,0.042,0.044,0.041,0.043,0.04
200,60,60,gaussian,toeplitz,0.1,0.061,0.058,0.052,0.056,0.061,0.0,0.004
200,60,60,gaussian,toeplitz,0.5,0.043,0.075,0.042,0.046,0.046,0.0,0.001
200,60,60,gaussian,toeplitz,0.9,0.067,0.076,0.054,0.056,0.057,0.011,0.025
200,60,60,laplace,equicorrelation,0.1,0.086,0.027,0.053,0.056,0.055,0.001,0.015
200,60,60,laplace,equicorrelation,0.5,0.127,0.053,0.046,0.046,0.046,0.045,0.04
200,60,60,laplace,equicorrelation,0.9,0.177,0.056,0.051,0.052,0.051,0.049,0.046
200,60,60,laplace,toeplitz,0.1,0.044,0.014,0.054,0.052,0.056,0.0,0.0
200,60,60,laplace,toeplitz,0.5,0.048,0.031,0.06,0.056,0.06,0.0,0.0
200,60,60,laplace,toeplitz,0.9,0.065,0.063,0.059,0.058,0.054,0.007,0.023
