p,n1,n2,innovation,covariance family,rho,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Wang-NR
100,80,100,chisq1,equicorrelation,0.1,0.099,0.011,0.058,0.058,0.062,0.01,0.004
100,80,100,chisq1,equicorrelation,0.5,0.206,0.024,0.049,0.045,0.054,0.048,0.037
100,80,100,chisq1,equicorrelation,0.9,0.269,0.052,0.059,0.062,0.061,0.061,0.058
100,80,100,chisq1,toeplitz,0.1,0.098,0.001,0.06,0.061,0.063,0.0,0.0
100,80,100,chisq1,toeplitz,0.5,0.078,0.011,0.053,0.058,0.055,0.0,0.0
100,80,100,chisq1,toeplitz,0.9,0.091,0.043,0.05,0.055,0.058,0.027,0.022
100,80,100,gaussian,equicorrelation,0.1,0.097,0.062,0.046,0.05,0.047,0.005,0.033
100,80,100,gaussian,equicorrelation,0.5,0.111,0.063,0.054,0.054,0.052,0.05,0.047
100,80,100,gaussian,equicorrelation,0.9,0.102,0.049,0.044,0.053,0.049,0.054,0.048
100,80,100,gaussian,toeplitz,0.1,0.045,0.056,0.059,0.063,0.065,0.0,0.009
100,80,100,gaussian,toeplitz,0.5,0.055,0.053,0.054,0.062,0.059,0.0,0.015
100,80,100,gaussian,toeplitz,0.9,0.075,0.079,0.056,0.063,0.056,0.039,0.043
100,80,100,laplace,equicorrelation,0.1,0.086,0.02,0.062,0.066,0.063,0.008,0.017
100,80,100,laplace,equicorrelation,0.5,0.159,0.058,0.056,0.06,0.057,0.054,0.05
100,80,100,laplace,equicorrelation,0.9,0.2,0.066,0.054,0.057,0.056,0.058,0.053
100,80,100,laplace,toeplitz,0.1,0.058,0.018,0.047,0.051,0.05,0.0,0.0
100,80,100,laplace,toeplitz,0.5,0.055,0.029,0.059,0.067,0.062,0.0,0.003
100,80,100,laplace,toeplitz,0.9,0.089,0.05,0.042,0.052,0.052,0.042,0.03
100,120,150,chisq1,equicorrelation,0.1,0.101,0.014,0.064,0.057,0.064,0.016,0.011
100,120,150,chisq1,equicorrelation,0.5,0.199,0.029,0.04,0.04,0.039,0.04,0.038
100,120,150,chisq1,equicorrelation,0.9,0.267,0.034,0.05,0.044,0.048,0.04,0.04
100,120,150,chisq1,toeplitz,0.1,0.128,0.005,0.056,0.053,0.053,0.0,0.0
100,120,150,chisq1,toeplitz,0.5,0.111,0.017,0.044,0.049,0.046,0.0,0.001
100,120,150,chisq1,toeplitz,0.9,0.101,0.052,0.052,0.058,0.056,0.031,0.024
100,120,150,gaussian,equicorrelation,0.1,0.076,0.054,0.058,0.062,0.057,0.011,0.03
100,120,150,gaussian,equicorrelation,0.5,0.108,0.063,0.06,0.066,0.07,0.073,0.061
100,120,150,gaussian,equicorrelation,0.9,0.11,0.05,0.051,0.054,0.053,0.049,0.046
100,120,150,gaussian,toeplitz,0.1,0.05,0.061,0.06,0.064,0.061,0.0,0.012
100,120,150,gaussian,toeplitz,0.5,0.057,0.05,0.056,0.057,0.052,0.0,0.02
100,120,150,gaussian,toeplitz,0.9,0.093,0.066,0.057,0.053,0.048,0.053,0.047
100,120,150,laplace,equicorrelation,0.1,0.08,0.021,0.052,0.056,0.065,0.008,0.021
100,120,150,laplace,equicorrelation,0.5,0.138,0.059,0.047,0.051,0.049,0.052,0.045
100,120,150,laplace,equicorrelation,0.9,0.213,0.053,0.052,0.054,0.052,0.054,0.048
100,120,150,laplace,toeplitz,0.1,0.072,0.023,0.042,0.044,0.044,0.0,0.0
100,120,150,laplace,toeplitz,0.5,0.065,0.021,0.058,0.062,0.061,0.0,0.006
100,120,150,laplace,toeplitz,0.9,0.079,0.055,0.053,0.051,0.053,0.036,0.033
200,80,100,chisq1,equicorrelation,0.1,0.101,0.005,0.05,0.053,0.048,0.006,0.006
200,80,100,chisq1,equicorrelation,0.5,0.216,0.06,0.069,0.064,0.061,0.073,0.061
200,80,100,chisq1,equicorrelation,0.9,0.256,0.043,0.052,0.053,0.057,0.053,0.045
200,80,100,chisq1,toeplitz,0.1,0.077,0.003,0.044,0.048,0.048,0.0,0.0
200,80,100,chisq1,toeplitz,0.5,0.073,0.01,0.054,0.063,0.056,0.0,0.0
200,80,100,chisq1,toeplitz,0.9,0.061,0.047,0.056,0.057,0.056,0.011,0.013
200,80,100,gaussian,equicorrelation,0.1,0.089,0.053,0.059,0.06,0.06,0.004,0.028
200,80,100,gaussian,equicorrelation,0.5,0.101,0.059,0.053,0.05,0.053,0.053,0.05
200,80,100,gaussian,equicorrelation,0.9,0.11,0.063,0.057,0.061,0.056,0.058,0.051
200,80,100,gaussian,toeplitz,0.1,0.056,0.072,0.053,0.053,0.056,0.0,0.004
200,80,100,gaussian,toeplitz,0.5,0.055,0.057,0.05,0.049,0.051,0.0,0.007
200,80,100,gaussian,toeplitz,0.9,0.069,0.064,0.052,0.054,0.056,0.015,0.033
200,80,100,laplace,equicorrelation,0.1,0.082,0.019,0.061,0.067,0.066,0.005,0.026
200,80,100,laplace,equicorrelation,0.5,0.152,0.066,0.061,0.062,0.072,0.065,0.058
200,80,100,laplace,equicorrelation,0.9,0.201,0.053,0.051,0.055,0.053,0.058,0.047
200,80,100,laplace,toeplitz,0.1,0.063,0.012,0.047,0.052,0.056,0.0,0.0
200,80,100,laplace,toeplitz,0.5,0.062,0.03,0.049,0.048,0.051,0.0,0.0
200,80,100,laplace,toeplitz,0.9,0.068,0.07,0.053,0.049,0.057,0.016,0.026
200,120,150,chisq1,equicorrelation,0.1,0.097,0.009,0.049,0.053,0.046,0.013,0.01
200,120,150,chisq1,equicorrelation,0.5,0.185,0.031,0.054,0.052,0.049,0.046,0.047
200,120,150,chisq1,equicorrelation,0.9,0.255,0.036,0.043,0.047,0.05,0.044,0.042
200,120,150,chisq1,toeplitz,0.1,0.1,0.003,0.07,0.075,0.07,0.0,0.0
200,120,150,chisq1,toeplitz,0.5,0.054,0.012,0.066,0.068,0.066,0.0,0.0
200,120,150,chisq1,toeplitz,0.9,0.079,0.042,0.061,0.061,0.061,0.02,0.027
200,120,150,gaussian,equicorrelation,0.1,0.089,0.057,0.049,0.053,0.053,0.005,0.032
200,120,150,gaussian,equicorrelation,0.5,0.101,0.064,0.054,0.053,0.058,0.051,0.048
200,120,150,gaussian,equicorrelation,0.9,0.117,0.055,0.058,0.06,0.056,0.061,0.056
200,120,150,gaussian,toeplitz,0.1,0.049,0.057,0.066,0.07,0.066,0.0,0.006
200,120,150,gaussian,toeplitz,0.5,0.054,0.06,0.051,0.057,0.057,0.0,0.008
200,120,150,gaussian,toeplitz,0.9,0.057,0.048,0.046,0.056,0.054,0.024,0.034
200,120,150,laplace,equicorrelation,0.1,0.089,0.015,0.044,0.046,0.052,0.006,0.026
200,120,150,laplace,equicorrelation,0.5,0.132,0.05,0.05,0.051,0.05,0.048,0.039
200,120,150,laplace,equicorrelation,0.9,0.167,0.04,0.039,0.042,0.042,0.041,0.04
200,120,150,laplace,toeplitz,0.1,0.042,0.022,0.05,0.054,0.051,0.0,0.0
200,120,150,laplace,toeplitz,0.5,0.056,0.022,0.048,0.053,0.052,0.0,0.0
200,120,150,laplace,toeplitz,0.9,0.09,0.046,0.049,0.052,0.052,0.025,0.049
