study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.101,0.5358734801151117,-0.014296440182003798,-0.24111296800960916,0.0008919226026628166,0.009528850927577786
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.014,0.653712,3.5820873435935434,3.5461346535022997,0.08419320250104648,0.003715373467095872
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.064,0.44564,1.0332262783967934,0.9331095417447995,0.08867614039953332,0.007739767438366608
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.057,0.467416,1.0420245544516284,0.7916030913275459,0.08873524969886057,0.007331507348424334
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.064,0.48096,1.0482337083136204,0.6511276507713841,0.08861763569852338,0.007739767438366608
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-I,0.05,500,1000,0.016,0.415814,1.0213641176782333,1.0118018332127248,0.08867252409900539,0.003967870965643918
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.011,0.4344215626826475,1.4273996394478445,0.03992109090621909,0.0026924407992046325,0.003298332912245215
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p5,100,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.199,0.6164102941434958,-0.11288866931707735,-0.9287301849346367,0.0009530573015799746,0.012625331678811452
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p5,100,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.029,0.546942,2.856429796845745,2.8129037055291337,0.08833281470020302,0.005306505441436953
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p5,100,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.04,0.43990199999999996,1.0277083548186772,0.8921424591382006,0.0937873748006532,0.0061967733539318665
