study,scenario_id,p,n1,n2,family,rho0,rho_alt,design,alternative,innovation,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Wang-NR
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p1,100,120,150,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.101,0.014,0.064,0.057,0.064,0.016,0.011
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p5,100,120,150,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.199,0.029,0.04,0.04,0.039,0.04,0.038
study_size_target,size_target_chisq1_equicorrelation_100_120_150_rho0p9,100,120,150,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.267,0.034,0.05,0.044,0.048,0.04,0.04
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.099,0.011,0.058,0.058,0.062,0.01,0.004
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.206,0.024,0.049,0.045,0.054,0.048,0.037
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.269,0.052,0.059,0.062,0.061,0.061,0.058
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.097,0.009,0.049,0.053,0.046,0.013,0.01
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.185,0.031,0.054,0.052,0.049,0.046,0.047
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.255,0.036,0.043,0.047,0.05,0.044,0.042
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p1,200,80,100,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.101,0.005,0.05,0.053,0.048,0.006,0.006
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p5,200,80,100,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.216,0.06,0.069,0.064,0.061,0.073,0.061
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p9,200,80,100,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.256,0.043,0.052,0.053,0.057,0.053,0.045
study_size_target,size_target_chisq1_toeplitz_100_120_150_rho0p1,100,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.128,0.005,0.056,0.053,0.053,0.0,0.0
study_size_target,size_target_chisq1_toeplitz_100_120_150_rho0p5,100,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.111,0.017,0.044,0.049,0.046,0.0,0.001
study_size_target,size_target_chisq1_toeplitz_100_120_150_rho0p9,100,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.101,0.052,0.052,0.058,0.056,0.031,0.024
study_size_target,size_target_chisq1_toeplitz_100_80_100_rho0p1,100,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.098,0.001,0.06,0.061,0.063,0.0,0.0
study_size_target,size_target_chisq1_toeplitz_100_80_100_rho0p5,100,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.078,0.011,0.053,0.058,0.055,0.0,0.0
study_size_target,size_target_chisq1_toeplitz_100_80_100_rho0p9,100,80,100,toeplitz,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.091,0.043,0.05,0.055,0.058,0.027,0.022
study_size_target,size_target_chisq1_toeplitz_200_120_150_rho0p1,200,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.1,0.003,0.07,0.075,0.07,0.0,0.0
study_size_target,size_target_chisq1_toeplitz_200_120_150_rho0p5,200,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.054,0.012,0.066,0.068,0.066,0.0,0.0
study_size_target,size_target_chisq1_toeplitz_200_120_150_rho0p9,200,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.079,0.042,0.061,0.061,0.061,0.02,0.027
study_size_target,size_target_chisq1_toeplitz_200_80_100_rho0p1,200,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,chisq1,0.077,0.003,0.044,0.048,0.048,0.0,0.0
study_size_target,size_target_chisq1_toeplitz_200_80_100_rho0p5,200,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,chisq1,0.073,0.01,0.054,0.063,0.056,0.0,0.0
study_size_target,size_target_chisq1_toeplitz_200_80_100_rho0p9,200,80,100,toeplitz,0.9,0.9,target_rho_grid_null_size,null,chisq1,0.061,0.047,0.056,0.057,0.056,0.011,0.013
study_size_target,size_target_gaussian_equicorrelation_100_120_150_rho0p1,100,120,150,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.076,0.054,0.058,0.062,0.057,0.011,0.03
study_size_target,size_target_gaussian_equicorrelation_100_120_150_rho0p5,100,120,150,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.108,0.063,0.06,0.066,0.07,0.073,0.061
study_size_target,size_target_gaussian_equicorrelation_100_120_150_rho0p9,100,120,150,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.11,0.05,0.051,0.054,0.053,0.049,0.046
study_size_target,size_target_gaussian_equicorrelation_100_80_100_rho0p1,100,80,100,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.097,0.062,0.046,0.05,0.047,0.005,0.033
study_size_target,size_target_gaussian_equicorrelation_100_80_100_rho0p5,100,80,100,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.111,0.063,0.054,0.054,0.052,0.05,0.047
study_size_target,size_target_gaussian_equicorrelation_100_80_100_rho0p9,100,80,100,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.102,0.049,0.044,0.053,0.049,0.054,0.048
study_size_target,size_target_gaussian_equicorrelation_200_120_150_rho0p1,200,120,150,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.089,0.057,0.049,0.053,0.053,0.005,0.032
study_size_target,size_target_gaussian_equicorrelation_200_120_150_rho0p5,200,120,150,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.101,0.064,0.054,0.053,0.058,0.051,0.048
study_size_target,size_target_gaussian_equicorrelation_200_120_150_rho0p9,200,120,150,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.117,0.055,0.058,0.06,0.056,0.061,0.056
study_size_target,size_target_gaussian_equicorrelation_200_80_100_rho0p1,200,80,100,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.089,0.053,0.059,0.06,0.06,0.004,0.028
study_size_target,size_target_gaussian_equicorrelation_200_80_100_rho0p5,200,80,100,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.101,0.059,0.053,0.05,0.053,0.053,0.05
study_size_target,size_target_gaussian_equicorrelation_200_80_100_rho0p9,200,80,100,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.11,0.063,0.057,0.061,0.056,0.058,0.051
study_size_target,size_target_gaussian_toeplitz_100_120_150_rho0p1,100,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.05,0.061,0.06,0.064,0.061,0.0,0.012
study_size_target,size_target_gaussian_toeplitz_100_120_150_rho0p5,100,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.057,0.05,0.056,0.057,0.052,0.0,0.02
study_size_target,size_target_gaussian_toeplitz_100_120_150_rho0p9,100,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.093,0.066,0.057,0.053,0.048,0.053,0.047
study_size_target,size_target_gaussian_toeplitz_100_80_100_rho0p1,100,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.045,0.056,0.059,0.063,0.065,0.0,0.009
study_size_target,size_target_gaussian_toeplitz_100_80_100_rho0p5,100,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.055,0.053,0.054,0.062,0.059,0.0,0.015
study_size_target,size_target_gaussian_toeplitz_100_80_100_rho0p9,100,80,100,toeplitz,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.075,0.079,0.056,0.063,0.056,0.039,0.043
study_size_target,size_target_gaussian_toeplitz_200_120_150_rho0p1,200,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.049,0.057,0.066,0.07,0.066,0.0,0.006
study_size_target,size_target_gaussian_toeplitz_200_120_150_rho0p5,200,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.054,0.06,0.051,0.057,0.057,0.0,0.008
study_size_target,size_target_gaussian_toeplitz_200_120_150_rho0p9,200,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.057,0.048,0.046,0.056,0.054,0.024,0.034
study_size_target,size_target_gaussian_toeplitz_200_80_100_rho0p1,200,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.056,0.072,0.053,0.053,0.056,0.0,0.004
study_size_target,size_target_gaussian_toeplitz_200_80_100_rho0p5,200,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.055,0.057,0.05,0.049,0.051,0.0,0.007
