study,scenario_id,p,n1,n2,family,rho0,rho_alt,design,alternative,innovation,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Wang-NR
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_120_60_rho0p5,100,120,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.218,0.075,0.078,0.082,0.07,0.079,0.066
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_180_60_rho0p5,100,180,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.192,0.118,0.108,0.1,0.095,0.096,0.074
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_300_60_rho0p5,100,300,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.22,0.244,0.168,0.146,0.125,0.147,0.108
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.194,0.041,0.053,0.056,0.054,0.066,0.044
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.181,0.056,0.062,0.062,0.058,0.065,0.052
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.2,0.103,0.106,0.098,0.093,0.099,0.075
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.185,0.218,0.14,0.123,0.113,0.118,0.091
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.188,0.049,0.054,0.058,0.057,0.058,0.049
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_120_60_rho0p5,100,120,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.094,0.019,0.067,0.068,0.066,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_180_60_rho0p5,100,180,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.083,0.046,0.091,0.093,0.085,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.087,0.181,0.142,0.128,0.107,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_90_60_rho0p5,100,90,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.084,0.016,0.064,0.071,0.065,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_200_120_60_rho0p5,200,120,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.059,0.012,0.064,0.063,0.065,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_200_180_60_rho0p5,200,180,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.075,0.031,0.097,0.098,0.089,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_200_300_60_rho0p5,200,300,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.089,0.187,0.102,0.091,0.074,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_200_90_60_rho0p5,200,90,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,0.076,0.016,0.065,0.065,0.061,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_100_120_60_rho0p5,100,120,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.1,0.141,0.065,0.07,0.066,0.069,0.058
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_100_180_60_rho0p5,100,180,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.11,0.219,0.095,0.104,0.092,0.094,0.073
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_100_300_60_rho0p5,100,300,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.098,0.333,0.1,0.099,0.091,0.096,0.062
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_100_90_60_rho0p5,100,90,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.101,0.099,0.056,0.057,0.059,0.061,0.056
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_200_120_60_rho0p5,200,120,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.098,0.136,0.058,0.057,0.051,0.056,0.048
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_200_180_60_rho0p5,200,180,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.1,0.269,0.093,0.095,0.084,0.092,0.058
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_200_300_60_rho0p5,200,300,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.111,0.383,0.095,0.097,0.091,0.098,0.071
study_size_unbalanced_ratio,size_unbalanced_gaussian_equicorrelation_200_90_60_rho0p5,200,90,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.118,0.108,0.065,0.065,0.068,0.066,0.057
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_100_120_60_rho0p5,100,120,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.045,0.089,0.057,0.055,0.052,0.0,0.011
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_100_180_60_rho0p5,100,180,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.054,0.109,0.086,0.086,0.083,0.0,0.006
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_100_300_60_rho0p5,100,300,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.063,0.176,0.095,0.096,0.087,0.0,0.005
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_100_90_60_rho0p5,100,90,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.047,0.062,0.057,0.063,0.066,0.0,0.01
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_200_120_60_rho0p5,200,120,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.045,0.076,0.064,0.064,0.061,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_200_180_60_rho0p5,200,180,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.063,0.107,0.075,0.082,0.074,0.0,0.003
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_200_300_60_rho0p5,200,300,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.044,0.196,0.078,0.087,0.083,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_gaussian_toeplitz_200_90_60_rho0p5,200,90,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,gaussian,0.046,0.06,0.046,0.046,0.044,0.0,0.002
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_100_120_60_rho0p5,100,120,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.133,0.1,0.068,0.064,0.064,0.062,0.049
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_100_180_60_rho0p5,100,180,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.157,0.194,0.102,0.11,0.101,0.112,0.085
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_100_300_60_rho0p5,100,300,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.138,0.308,0.105,0.105,0.097,0.1,0.076
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_100_90_60_rho0p5,100,90,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.119,0.051,0.05,0.052,0.05,0.051,0.041
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_200_120_60_rho0p5,200,120,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.114,0.094,0.059,0.062,0.062,0.061,0.053
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_200_180_60_rho0p5,200,180,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.147,0.19,0.1,0.096,0.091,0.096,0.069
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_200_300_60_rho0p5,200,300,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.15,0.324,0.112,0.105,0.101,0.111,0.077
study_size_unbalanced_ratio,size_unbalanced_laplace_equicorrelation_200_90_60_rho0p5,200,90,60,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.128,0.074,0.06,0.05,0.052,0.052,0.048
study_size_unbalanced_ratio,size_unbalanced_laplace_toeplitz_100_120_60_rho0p5,100,120,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.067,0.048,0.054,0.052,0.05,0.0,0.002
study_size_unbalanced_ratio,size_unbalanced_laplace_toeplitz_100_180_60_rho0p5,100,180,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.069,0.061,0.091,0.088,0.082,0.0,0.002
study_size_unbalanced_ratio,size_unbalanced_laplace_toeplitz_100_300_60_rho0p5,100,300,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.074,0.197,0.094,0.093,0.084,0.0,0.0
study_size_unbalanced_ratio,size_unbalanced_laplace_toeplitz_100_90_60_rho0p5,100,90,60,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,laplace,0.054,0.045,0.063,0.063,0.062,0.0,0.0
