block_size,high_variance,rho_block,alternative,R,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Raw-L2,Wang-NR
80,25.0,0.0,null,1000,0.056,0.055,0.054,0.055,0.06,0.0,0.0,0.013
80,25.0,0.05,alternative,1000,0.065,0.07,0.581,0.589,0.585,0.0,0.0,0.015
80,25.0,0.1,alternative,1000,0.071,0.182,0.804,0.804,0.804,0.212,0.0,0.013
80,25.0,0.15,alternative,1000,0.068,0.499,0.904,0.903,0.901,0.987,0.0,0.016
80,25.0,0.2,alternative,1000,0.062,0.876,0.934,0.931,0.928,1.0,0.0,0.014
80,25.0,0.25,alternative,1000,0.071,0.992,0.956,0.957,0.951,1.0,0.0,0.018
80,25.0,0.3,alternative,1000,0.098,1.0,0.976,0.973,0.974,1.0,0.0,0.018
80,25.0,0.35,alternative,1000,0.095,1.0,0.976,0.981,0.981,1.0,0.0,0.018
80,25.0,0.4,alternative,1000,0.116,1.0,0.983,0.979,0.981,1.0,0.0,0.027
80,25.0,0.5,alternative,1000,0.159,1.0,0.986,0.986,0.989,1.0,0.0,0.043
