family,rho0,rho_alt,method,R,rejection rate,MCSE
equicorrelation,0.5,0.1,Li-Chen,1000,1.0,0.0
equicorrelation,0.5,0.1,Max-bootstrap,1000,1.0,0.0
equicorrelation,0.5,0.1,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.5,0.1,Ours-C(0.5),1000,1.0,0.0
equicorrelation,0.5,0.1,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.5,0.1,Ours-I,1000,1.0,0.0
equicorrelation,0.5,0.1,Wang-NR,1000,1.0,0.0
equicorrelation,0.5,0.2,Li-Chen,1000,1.0,0.0
equicorrelation,0.5,0.2,Max-bootstrap,1000,0.987,0.0035820385257559714
equicorrelation,0.5,0.2,Ours-C(0.3),1000,0.999,0.0009994998749374613
equicorrelation,0.5,0.2,Ours-C(0.5),1000,0.999,0.0009994998749374613
equicorrelation,0.5,0.2,Ours-C(0.7),1000,0.999,0.0009994998749374613
equicorrelation,0.5,0.2,Ours-I,1000,0.999,0.0009994998749374613
equicorrelation,0.5,0.2,Wang-NR,1000,0.999,0.0009994998749374613
equicorrelation,0.5,0.3,Li-Chen,1000,0.907,0.009184280047995052
equicorrelation,0.5,0.3,Max-bootstrap,1000,0.707,0.014392741226048637
equicorrelation,0.5,0.3,Ours-C(0.3),1000,0.853,0.011197812286335219
equicorrelation,0.5,0.3,Ours-C(0.5),1000,0.856,0.011102432165971564
equicorrelation,0.5,0.3,Ours-C(0.7),1000,0.858,0.011037934589405756
equicorrelation,0.5,0.3,Ours-I,1000,0.822,0.012096115078817663
equicorrelation,0.5,0.3,Wang-NR,1000,0.814,0.012304633273690038
equicorrelation,0.5,0.4,Li-Chen,1000,0.358,0.01516034300403523
equicorrelation,0.5,0.4,Max-bootstrap,1000,0.171,0.011906258858264422
equicorrelation,0.5,0.4,Ours-C(0.3),1000,0.243,0.013562853682024296
equicorrelation,0.5,0.4,Ours-C(0.5),1000,0.247,0.013637851736985557
equicorrelation,0.5,0.4,Ours-C(0.7),1000,0.255,0.013783141876945184
equicorrelation,0.5,0.4,Ours-I,1000,0.228,0.013267102170406317
equicorrelation,0.5,0.4,Wang-NR,1000,0.218,0.0130566458173606
equicorrelation,0.5,0.5,Li-Chen,1000,0.096,0.009315793041926168
equicorrelation,0.5,0.5,Max-bootstrap,1000,0.065,0.007795832219846705
equicorrelation,0.5,0.5,Ours-C(0.3),1000,0.057,0.007331507348424334
equicorrelation,0.5,0.5,Ours-C(0.5),1000,0.053,0.00708456067798138
equicorrelation,0.5,0.5,Ours-C(0.7),1000,0.058,0.007391616873188166
equicorrelation,0.5,0.5,Ours-I,1000,0.056,0.007270763371201128
equicorrelation,0.5,0.5,Wang-NR,1000,0.049,0.006826346021115542
equicorrelation,0.5,0.6,Li-Chen,1000,0.292,0.014378317008607092
equicorrelation,0.5,0.6,Max-bootstrap,1000,0.259,0.013853483316480371
equicorrelation,0.5,0.6,Ours-C(0.3),1000,0.244,0.013581752464244074
equicorrelation,0.5,0.6,Ours-C(0.5),1000,0.244,0.013581752464244074
equicorrelation,0.5,0.6,Ours-C(0.7),1000,0.242,0.013543854695026818
equicorrelation,0.5,0.6,Ours-I,1000,0.211,0.012902674141432851
equicorrelation,0.5,0.6,Wang-NR,1000,0.197,0.012577400367325514
equicorrelation,0.5,0.7,Li-Chen,1000,0.613,0.015402305022301045
equicorrelation,0.5,0.7,Max-bootstrap,1000,0.616,0.015379986996093333
equicorrelation,0.5,0.7,Ours-C(0.3),1000,0.59,0.01555313473226539
equicorrelation,0.5,0.7,Ours-C(0.5),1000,0.585,0.015581238718407468
equicorrelation,0.5,0.7,Ours-C(0.7),1000,0.585,0.015581238718407468
equicorrelation,0.5,0.7,Ours-I,1000,0.526,0.01578999683343857
equicorrelation,0.5,0.7,Wang-NR,1000,0.497,0.01581110369329099
equicorrelation,0.5,0.8,Li-Chen,1000,0.842,0.011534123287012326
equicorrelation,0.5,0.8,Max-bootstrap,1000,0.865,0.010806248192596726
equicorrelation,0.5,0.8,Ours-C(0.3),1000,0.866,0.010772372069326236
equicorrelation,0.5,0.8,Ours-C(0.5),1000,0.858,0.011037934589405756
equicorrelation,0.5,0.8,Ours-C(0.7),1000,0.845,0.011444430960078356
equicorrelation,0.5,0.8,Ours-I,1000,0.78,0.01309961831505025
equicorrelation,0.5,0.8,Wang-NR,1000,0.765,0.013408019988051927
equicorrelation,0.5,0.9,Li-Chen,1000,0.957,0.006414904519944161
equicorrelation,0.5,0.9,Max-bootstrap,1000,0.97,0.0053944415837044735
equicorrelation,0.5,0.9,Ours-C(0.3),1000,0.979,0.00453420334788814
equicorrelation,0.5,0.9,Ours-C(0.5),1000,0.97,0.0053944415837044735
equicorrelation,0.5,0.9,Ours-C(0.7),1000,0.971,0.005306505441436956
equicorrelation,0.5,0.9,Ours-I,1000,0.937,0.007683163410991592
equicorrelation,0.5,0.9,Wang-NR,1000,0.929,0.008121514637061239
